statistic_yyy,according,site_id,death_total,death_m,death_f,death_age_000_m,death_age_000_f,death_age_000_thisyear_m,death_age_000_thisyear_f,death_age_000_lastyear_m,death_age_000_lastyear_f,death_age_001_m,death_age_001_f,death_age_002_m,death_age_002_f,death_age_003_m,death_age_003_f,death_age_004_m,death_age_004_f,death_age_005_m,death_age_005_f,death_age_006_m,death_age_006_f,death_age_007_m,death_age_007_f,death_age_008_m,death_age_008_f,death_age_009_m,death_age_009_f,death_age_010_m,death_age_010_f,death_age_011_m,death_age_011_f,death_age_012_m,death_age_012_f,death_age_013_m,death_age_013_f,death_age_014_m,death_age_014_f,death_age_015_m,death_age_015_f,death_age_016_m,death_age_016_f,death_age_017_m,death_age_017_f,death_age_018_m,death_age_018_f,death_age_019_m,death_age_019_f,death_age_020_m,death_age_020_f,death_age_021_m,death_age_021_f,death_age_022_m,death_age_022_f,death_age_023_m,death_age_023_f,death_age_024_m,death_age_024_f,death_age_025_m,death_age_025_f,death_age_026_m,death_age_026_f,death_age_027_m,death_age_027_f,death_age_028_m,death_age_028_f,death_age_029_m,death_age_029_f,death_age_030_m,death_age_030_f,death_age_031_m,death_age_031_f,death_age_032_m,death_age_032_f,death_age_033_m,death_age_033_f,death_age_034_m,death_age_034_f,death_age_035_m,death_age_035_f,death_age_036_m,death_age_036_f,death_age_037_m,death_age_037_f,death_age_038_m,death_age_038_f,death_age_039_m,death_age_039_f,death_age_040_m,death_age_040_f,death_age_041_m,death_age_041_f,death_age_042_m,death_age_042_f,death_age_043_m,death_age_043_f,death_age_044_m,death_age_044_f,death_age_045_m,death_age_045_f,death_age_046_m,death_age_046_f,death_age_047_m,death_age_047_f,death_age_048_m,death_age_048_f,death_age_049_m,death_age_049_f,death_age_050_m,death_age_050_f,death_age_051_m,death_age_051_f,death_age_052_m,death_age_052_f,death_age_053_m,death_age_053_f,death_age_054_m,death_age_054_f,death_age_055_m,death_age_055_f,death_age_056_m,death_age_056_f,death_age_057_m,death_age_057_f,death_age_058_m,death_age_058_f,death_age_059_m,death_age_059_f,death_age_060_m,death_age_060_f,death_age_061_m,death_age_061_f,death_age_062_m,death_age_062_f,death_age_063_m,death_age_063_f,death_age_064_m,death_age_064_f,death_age_065_m,death_age_065_f,death_age_066_m,death_age_066_f,death_age_067_m,death_age_067_f,death_age_068_m,death_age_068_f,death_age_069_m,death_age_069_f,death_age_070_m,death_age_070_f,death_age_071_m,death_age_071_f,death_age_072_m,death_age_072_f,death_age_073_m,death_age_073_f,death_age_074_m,death_age_074_f,death_age_075_m,death_age_075_f,death_age_076_m,death_age_076_f,death_age_077_m,death_age_077_f,death_age_078_m,death_age_078_f,death_age_079_m,death_age_079_f,death_age_080_m,death_age_080_f,death_age_081_m,death_age_081_f,death_age_082_m,death_age_082_f,death_age_083_m,death_age_083_f,death_age_084_m,death_age_084_f,death_age_085_m,death_age_085_f,death_age_086_m,death_age_086_f,death_age_087_m,death_age_087_f,death_age_088_m,death_age_088_f,death_age_089_m,death_age_089_f,death_age_090_m,death_age_090_f,death_age_091_m,death_age_091_f,death_age_092_m,death_age_092_f,death_age_093_m,death_age_093_f,death_age_094_m,death_age_094_f,death_age_095_m,death_age_095_f,death_age_096_m,death_age_096_f,death_age_097_m,death_age_097_f,death_age_098_m,death_age_098_f,death_age_099_m,death_age_099_f,death_age_100up_m,death_age_100up_f
107,按登記日期分,苗栗縣南庄鄉,159,90,69,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,0,0,1,0,1,0,2,0,3,0,1,1,2,1,1,1,0,0,1,0,2,1,2,0,3,0,3,0,1,1,1,0,0,0,1,0,2,1,2,0,0,2,0,0,1,1,2,0,2,1,3,1,2,0,3,2,0,0,0,0,1,1,0,4,1,2,2,1,3,2,1,1,3,1,1,2,3,2,0,1,2,2,3,4,1,2,3,2,6,5,4,3,1,2,0,0,1,3,0,1,0,3,1,0,1,1,0,3,1,0,0,1,0,1,0,2
107,按登記日期分,苗栗縣頭屋鄉,129,73,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,0,0,1,2,0,1,0,1,1,3,0,2,0,1,0,0,2,1,0,1,2,0,0,1,2,2,0,2,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,2,0,0,1,1,4,3,5,5,2,3,0,0,2,3,4,0,2,2,2,3,3,3,1,3,2,2,1,1,2,1,2,1,0,1,2,1,1,0,2,1,2,0,1,0,0,2,0,0,0,2
107,按登記日期分,苗栗縣三義鄉,180,110,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,3,1,1,0,2,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,1,1,5,0,0,0,1,0,0,0,1,2,4,1,2,2,2,1,0,1,2,2,2,3,3,1,1,0,3,0,2,1,3,1,2,2,6,0,0,2,1,3,2,2,3,0,3,2,4,4,2,1,2,1,6,1,2,3,3,6,3,0,3,1,2,2,3,3,4,1,0,1,2,2,2,4,2,4,1,0,0,1,1,2,0,0,1,0,0,2,0,0
107,按登記日期分,苗栗縣西湖鄉,94,58,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,2,0,0,0,3,0,1,0,2,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,2,1,2,2,2,0,0,3,4,2,1,1,2,0,6,0,0,0,3,2,0,2,0,1,1,1,0,3,3,2,1,4,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,2
107,按登記日期分,苗栗縣造橋鄉,134,77,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,1,0,1,0,1,0,1,0,1,0,0,3,1,0,2,1,4,1,0,1,0,1,0,1,3,0,1,0,6,0,0,0,0,0,1,0,0,1,3,0,5,0,2,1,4,3,7,1,0,3,4,2,3,3,0,4,2,1,0,2,0,4,3,3,3,3,0,1,1,1,2,2,1,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0
107,按登記日期分,苗栗縣三灣鄉,89,45,44,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,1,1,2,0,1,0,0,3,0,0,4,1,3,2,1,1,3,1,1,3,2,1,3,2,2,2,0,2,3,1,1,1,2,0,1,2,1,1,2,1,1,0,2,0,0,1,1,0,0,0,0
107,按登記日期分,苗栗縣獅潭鄉,86,56,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,3,0,2,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,3,2,3,1,2,1,3,4,1,2,1,1,1,3,2,0,3,4,2,2,0,0,2,1,2,1,1,0,2,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0
107,按登記日期分,苗栗縣泰安鄉,76,47,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,2,0,2,1,3,0,0,0,3,1,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,1,2,1,2,1,0,2,0,2,0,3,0,0,0,0,2,1,1,4,1,1,1,0,0,1,1,0,0,0,2,1,0,1,1,1,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
107,按登記日期分,彰化縣彰化市,1595,919,676,3,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,3,1,0,0,1,0,1,0,2,0,1,0,3,0,1,1,0,1,1,0,2,0,0,0,0,0,3,0,2,0,0,1,1,0,2,1,2,0,6,1,2,0,7,0,2,3,4,1,4,2,10,3,5,2,5,1,4,4,3,0,7,2,9,3,10,2,3,3,5,1,9,3,9,1,8,2,11,3,13,9,9,3,18,5,11,5,17,11,5,10,21,5,15,4,16,9,13,15,19,11,18,12,14,7,21,10,14,11,14,11,8,4,19,7,22,17,19,16,29,19,27,20,29,25,24,17,28,26,26,24,22,27,20,35,26,28,36,29,34,27,26,30,35,26,13,16,19,18,22,13,12,16,5,12,10,10,2,8,5,6,0,9,1,5,5,4
107,按登記日期分,彰化縣員林市,861,484,377,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,1,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,1,0,3,0,2,2,6,1,3,0,3,0,2,2,7,1,2,2,9,3,4,2,2,5,4,0,6,3,1,1,6,1,5,2,6,1,7,3,4,2,13,3,6,2,11,5,13,6,10,0,5,4,16,4,13,6,9,5,7,4,7,3,13,5,8,5,8,4,4,6,12,6,10,3,12,8,7,8,18,5,18,13,13,13,10,9,10,18,13,10,15,11,10,19,15,10,8,14,15,21,13,10,9,13,12,15,7,12,7,9,1,12,2,8,5,5,1,7,1,5,1,5,0,3,1,2
